Application Number,Geographical Indications,Status,Applicant Name,Applicant Address,Date of Filing,Class,Goods,Geographical Area,Priority Country,Journal Number,Availability Date,Certificate Number,Certificate Date,Registration Valid Upto
569,Darjeeling Green,Withdrawn,Tea Board,"14, B.T.M. Sarani (Barabourne Road), P.O. Box No. 2172, Kollkata - 700 001, West Bengal, India",04-10-2016,30,Agriculture,West Bengal,India,,,,,
570,Otho Dongo,Refused,Akshar Shilp,"Plot No. 71, Prayag Residency, Maneknagar Area, Jamnagar, Gujarat, India",10-10-2016,19,Handicraft,Gujarat,India,,,,,
571,Jaipuri Razai,Abandoned,Jaipur Razai Vyapar Sangh Samiti,"122, Choura Rasta, Jaipur - 302003, Rajasthan, India",28-10-2016,24,Handicraft,Rajasthan,India,,,,,
572,Chokuwa Rice of Assam,Registered,"Secretary, Seuj Satirth","Central Cultural Building, Kachumari, Dehajan, Dimow - 785 662, District: Sivsagar, Assam, India",14-12-2016,30,Agriculture,Assam,India,124,24-10-2019,362,26-02-2020,13-12-2026
573,Lucknow Bone Carving,Refused,Shilp Sadhana,"14, Ram Block, Opp. 11/284, Sector-11, Rajajipuram, Lucknow - 226017, Uttar Pradesh, India",22-12-2016,20,Handicraft,Uttar Pradesh,India,,,,,
574,Thaikkal Rattan Furniture,Advertised,1. Annaikaran Chattiram Village Panchayat; 2. Gopalasamithuram Village Panchayat,"1. Taluk: Sirkali, District: Nagapattinam - 609 102, Tamil Nadu, India; 2. Kollidam Block, District: Nagapattinam - 609 108, Tamil Nadu, India",31-01-2017,20,Handicraft,Tamil Nadu,India,,,,,
575,Kalpetta Bamboo Craft,Refused,Uravu Indigenous Science and Technology Study Centre,"Post: Thrikkaipetta, District: Wayanad - 673 577, Kerala, India,",03-03-2017,20,Handicraft,Kerala,India,,,,,
576,Kannur Baby Wraps,Withdrawn,Lokanath Weavers Industrial Co-Operative Society Limited,"Chovva Post.Kannur District, Kannur, Kerala, India, 670006",06-04-2017,24,Textiles,,,,,,,
577,Grana Padano (Merged With Application No. 350),Merged,Consorzio per la Tutela del Formaggio Grana Padano,"Via XXIV Giugno, 8, 25015 San Martino Della Battaglia,Desenzano del Garda (BS), Italy, Italy, Italy, 0",25-04-2017,29,Manufactured Goods,,,105,06-04-2018,,07-08-2018,
578,Lucknow Chikan Craft (Logo),Refused,Shilp Sadhana,"Secretary, Shilp Sadhana, 14, Ram Block, Sector -II Rajaji Puram, Lucknow - 226017, Uttar Pradesh, India",03-05-2017,24,Handicraft,Uttar Pradesh,India,,,,,
579,Krishnagar Sarpuria,Refused,Krishnagar Mistanna Babosayee Welfare Samity,"K.K. Tala East Lane, Kalinagar, Post: Krishnagar, District: Nadia - 741101, West Bengal, India",25-05-2017,30,Food Stuffs,West Bengal,India,,,,,
580,Krishnagar Sarbhaja,Refused,Krishnagar Mistanna Babosayee Welfare Samity,"K.K. Tala East Lane, Kalinagar, Post: Krishnagar, District: Nadia - 741101, West Bengal, India",25-05-2017,30,Food Stuffs,West Bengal,India,,,,,
581,Punjab Seed Potato,Examination,"Punjab Agricultural University, Ludhiana, Punjab","Director of Research, Punjab Agricultural University,  Ludhiana - 141 004, Punjab, India, Email: ushanara@pau.edu",13-06-2017,31,Agriculture,Punjab,India,,,,,
582,Tawlhlohpuan,Registered,"Art and Culture Department, Government of Mizoram","Directorate of Art & Culture, Art and Culture Department, Government of Mizoram, McDonald Hill, Zarkawt, Aizawl - 796 001, Mizoram, India",20-06-2017,"24,25",Textiles,Mizoram,India,120,12-04-2019,351,14-08-2019,19-06-2027
583,Mizo Puanchei,Registered,"Art and Culture Department, Government of Mizoram","Directorate of Art & Culture, Art and Culture Department, Government of Mizoram, McDonald Hill, Zarkawt, Aizawl - 796001, Mizoram, India",20-06-2017,"24,25",Textiles,Mizoram,India,120,12-04-2019,352,14-08-2019,19-06-2027
584,Silao Khaja,Registered,Silao Khaja Audyogik Swavalambi Sahakari Samiti Limited,"Post Office Silao, National High Way 82, Silao Bypass Road, Silao, District: Nalanda - 803 117, Bihar, India",16-08-2017,30,Food Stuffs,Bihar,India,109,09-08-2018,330,11-12-2018,15-08-2027
585,Pethapur Printing Blocks,Registered,Gujarat Council on Science and Technology,"Department of Science and Technology, Government of Gujarat, Block-B, 7th Floor, MS Building, Sector-11, Gandhinagar - 382 011, Gujarat, India",28-08-2017,16,Handi Crafts,Gujarat,India,108,05-07-2018,328,07-11-2018,27-08-2027
586,Pawndum,Registered,"Art and Culture Department, Government of Mizoram","Directorate of Art & Culture, Art and Culture Department, Government of Mizoram, McDonald Hill, Zarkawt, Aizawl - 796001, Mizoram, India",30-08-2017,"24,25",Textiles,Mizoram,India,119,05-04-2019,347,06-08-2019,
587,Ngotekherh,Registered,"Art and Culture Department, Government of Mizoram","Directorate of Art & Culture, Art and Culture Department, Government of Mizoram, McDonald Hill, Zarkawt, Aizawl - 796001, Mizoram, India",30-08-2017,"24,25",Textiles,Mizoram,India,119,05-04-2019,348,06-08-2019,
588,Hmaram,Registered,"Art and Culture Department, Government of Mizoram","Directorate of Art & Culture, Art and Culture Department, Government of Mizoram, McDonald Hill, Zarkawt, Aizawl - 796001, Mizoram, India",30-08-2017,"24,25",Textiles,Mizoram,India,119,05-04-2019,349,06-08-2019,
589,Bhotia Dann of Uttarakhand,Registered,Renuka Devi Katghar - Bunkar Swayatt Sahakarita,"Village - Veerpur, Post - Dunda Vikaas, Tehsil - Dunda, Uttarkashi, Uttarakhand , India, 249193",18-09-2017,27,Handicraft,Uttarakhand,India,131,11-03-2020,375,14-09-2021,17-09-2027
590,Tamenglong Orange,Registered,Manipur Organic Mission Agency (MOMA),"Directorate of Horticulture, Sanjenthong, Imphal – 795 001, Manipur, India.",18-09-2017,31,Agricultural,Manipur,India,140,31-08-2020,402,14-09-2021,17-09-2027
591,Siroi Lily,Refused,"Director, Department of Horticulture & Soil Conservation, Government of Manipur","Sanjenthong, Imphal, Manipur - 795001, India",18-09-2017,31,Agricultural,Manipur,India,,,,,
592,Hathei Chilli,Registered,Manipur Organic Mission Agency (MOMA),"Directorate of Horticulture, Sanjenthong, Imphal – 795 001, Manipur, India.",18-09-2017,30,Agricultural,Manipur,India,141,11-09-2020,407,14-09-2021,17-09-2027
593,Gulbarga Tur Dal,Registered,"1. M/s. University of Agricultural Sciences (UAS),2. Karnataka Togari Abhivrudhi Mandali Limited","1. UAS Campus, Lingsugur Road, Raichur,
2. APMC yard, Nehru Gunj, Kalaburagi, Karnataka, Karnataka, India, 584 104, 585 104",26-09-2017,31,Agricultural,Karnataka,India,120,12-04-2019,353,14-08-2019,25-09-2027
594,Phulam Gamusa,Registered,Institute of Handicraft Development,"Dhodang (Lawbhoga), P. O. Barua bamun gaon, Golaghat - 785618, Assam, India",16-10-2017,24,Textiles,Assam,India,124,24-10-2019,432,13-12-2022,
595,Tapil,Refused,State Horticultural Research & Development Institute,"Government of Arunachal Pradesh Chimpu, Itanagar, Arunachal Pradesh, India",08-11-2017,31,Agricultural,Arunachal Pradesh,India,,,,,
596,Oyik,Refused,"State Horticultural Research & Development Institute, (SHRDI)","Mission Director, Government of Arunachal Pradesh, Chimpu, Itanagar, Arunachal Pradesh, India",08-11-2017,31,Agricultural,Arunachal Pradesh,India,,,,,
597,Rahre,Refused,State Horticultural Research & Development Institute,"Government of Arunachal Pradesh, Chimpu, Itanagar, Arunachal Pradesh, India",08-11-2017,31,Agricultural,Arunachal Pradesh,India,,,,,
598,Surti Locho,Withdrawn,"IPR Cell, Auro University","Ichapur Road, Opp. ONGC Next to Toyota, Bhatpore, Limla, Surat - 394510, Gujarat, India",11-12-2017,30,Food Stuffs,Gujarat,India,,,,,
599,Telia Rumal,Registered,The Consortium of Puttapaka Handloom Cluster -IHDS,"H.No.6-135, Puttapaka (VI) Narayanapur (m), Yadadri  Bhongir, Nalgonda, Telangana, India, 508253",15-12-2017,24,Textiles,Telangana,India,129,10-01-2020,369,14-09-2021,14-12-2027
600,Leteku,Refused,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9 Rajbari Path, Ganeshguri, G S Road, Guwahati, Assam, India, 781 005",26-12-2017,31,Agricultural,Assam,,,,,,
601,Manipur Black Cherry,Examination,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9 Rajbari Path, Ganeshguri, G S Road, Guwahati, Assam, India, 781 005",26-12-2017,31,Agricultural,Manipur,,,,,,
602,Chak-Hao,Registered,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9 Rajbari Path, Ganeshguri, G S Road, Guwahati, Assam, India, 781 005",26-12-2017,30,Agricultural,Manipur,India,126,29-11-2019,364,20-04-2020,25-12-2027
603,Assam Elephant Apple,Refused,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9 Rajbari Path, Ganeshguri, G S Road, Guwahati - 781 005, Assam, India",26-12-2017,31,Agricultural,Assam,India,,,,,
604,Coorg Arabica Coffee,Registered,Coffee Board,"No. 1, Dr.B.R.Ambedkar Veedhi, Bengaluru - 560 001, Karnataka, India",01-01-2018,30,Agriculture,Karnataka,India,111,29-10-2018,331,01-03-2019,31-12-2027
605,Wayanaad Robusta Coffee,Registered,Coffee Board,"No. 1, Dr.B.R.Ambedkar Veedhi, Bengaluru - 560 001, Karnataka, India",01-01-2018,30,Agriculture,Kerala,India,111,29-10-2018,332,01-03-2019,31-12-2027
606,Chikmagalur Arabica Coffee,Registered,Coffee Board,"No. 1, Dr.B.R.Ambedkar Veedhi, Bengaluru - 560 001, Karnataka, India",01-01-2018,30,Agriculture,Karnataka,India,111,29-10-2018,333,01-03-2019,31-12-2027
607,Araku Valley Arabica Coffee,Registered,Coffee Board,"No. 1, Dr.B.R.Ambedkar Veedhi, Bengaluru - 560 001, Karnataka, India",01-01-2018,30,Agriculture,Andhra Pradesh & Odisha,India,111,29-10-2018,334,01-03-2019,31-12-2027
608,Bababudangiris Arabica Coffee,Registered,Coffee Board,"No. 1, Dr.B.R.Ambedkar Veedhi, Bengaluru - 560 001, Karnataka, India",01-01-2018,30,Agriculture,Karnataka,India,111,29-10-2018,335,01-03-2019,31-12-2027
609,Kaji Nemu,Registered,CRS-NA-DIHING NEMU TENGA UNNAYAN SAMITY,"Diramukh Thepabari, Post: Hahkhati, P.S: Dhola, Tinsukia, Assam, India, 786154",05-01-2018,31,Agricultural,Assam,India,123,10-05-2019,361,12-09-2019,04-01-2028
610,Kandhamal Haladi,Registered,Kandhamal Apex Spices Association for Marketing (KASAM),"Netaji Subash Bose Road, Phulbani – 762 001, Kandhamal, Odisha, India",11-01-2018,30,Agriculture,Odisha,India,115,30-11-2018,344,01-04-2019,10-01-2028
611,Jeeraphool,Registered,Jaivik Krishi Utpadak Sahkari Samiti Maryadit,"Village: Bansajhal, Block: Batauli, Ambikapur, Chhattisgarh, India, 492012",15-02-2018,30,Agriculture,Chhattisgarh,India,114,09-11-2018,343,14-03-2019,14-02-2028
612,Odisha Rasagola,Registered,1.The Odisha Small Industries Corporation Limited (OSIC Ltd.); 2. Utkal Mistanna Byabasayee Samiti,"1. (A Government of Odisha Undertaking), Managing Director, Industrial Estate, Madhupatna, Cuttack, Pin - 753 010, Odisha, India;2. Odisha, B-34, Sahid Nagar, Bhubaneswar - 751 009, Odisha, India",23-02-2018,"29,30",Food Stuffs,Odisha,India,116,27-03-2019,345,29-07-2019,22-02-2028
613,Marayoor Jaggery (Marayoor Sharkara),Registered,Anchunadu Karimbu Ulpadhana Vipanana Sangham,"Building No.lll/367 C, Marayoor town, Post: Marayoor, District: Idukki - 685 620, Kerala, India",16-03-2018,30,Agriculture,Kerala,India,113,05-11-2018,341,06-03-2019,15-03-2028
614,Chamba Chappal,Registered,Himachal Pradesh Patent Information Centre,"Himachal Pradesh Council for Science, Technology & Environment, B-34, SDA Complex, Kasumpti Shimla - 171 009, Himachal Pradesh, India",25-05-2018,25,Handicraft,Himachal Pradesh,India,140,31-08-2020,403,14-09-2021,24-05-2028
615,Goan Coconut Feni,Refused,"(1) The All Goa Toddy Tappers Association (TAGTTA);  (2) The Department of Science & Technology (DST), Government of Goa","(1) Grave Building, Near Railway Gate, Jose Inacio Loyolo Road, P.O. Box No. 237, Margao, Goa - 403 601, India; (2) 1st Floor, Pandit Deendayal Upadhay Bhavan, Behind Pundalik Devasthan, Near Sanjay School porvorium Bardez , Goa - 403 521, India",28-05-2018,33,Manufactured Goods,Goa,India,,,,,
616,Kodaikanal Malai Poondu,Registered,"1. Department of Biotechnology, Mother Teresa Women's University; 2. Tamil Nadu State Council for Science and Technology","1. Kodaikanal - 624 101, Tamil Nadu, India; 2. Sardar Patel Road, DOTE Campus, Chennai - 600 025, Tamil Nadu, India.",01-06-2018,31,Agricultural,Tamil Nadu,India,118,29-03-2019,346,30-07-2019,31-05-2028
617,Seeraga Samba Rice,Examination,Intellectual Property rights Attorney Association,"YMIA New India Building, 49, Moore Street, 1st Floor, 2nd Lane Beach Road, Parrys, Chennai, Tamil Nadu, India, 600 001",08-06-2018,30,Agricultural,Tamil Nadu,India,,,,,
618,Khola Chilli,Registered,"1.The Khola/Canacona Chilli Cultivator's Group Association (TKCCGA); 2.Department of Science & Technology (DST), Government of Goa","1.H.No. 356(2) Soliem, Khola (Cola) Canacona Goa - 403702, India; 2.1st Floor, Pandit Deendayal Upadhay Bhavan, Behind Pundalik Devasthan, Near Sanjay, School, Porvorim, Bardez, Goa, India, 403521",06-08-2018,30,Agricultural,Goa,India,121,26-04-2019,356,28-08-2019,05-08-2028
619,Gorakhpur Terracotta,Registered,"1. Laxmi Terracotta Murtikala Kendra represented by its Mr. Laxmi Chand Prajapati, President; 2. Human Welfare Association represented by its Dr. Rajani Kant, General Secretary","1. Aurangabad, Gulriha, Gorakhpur; 2. S. 15/116, 2-AC, Mawaiya, Sarnath, varanasi, Uttar Pradesh, India, 221007",10-09-2018,27,Handicraft,Uttar Pradesh,India,126,29-11-2019,365,20-04-2020,09-09-2028
620,Banaras Zardozi,Registered,Banaras Zardozi Craft Development Society,"B.3/358C, Shivala, varanasi, Uttar Pradesh, India, 0",10-09-2018,26,Handicraft,Uttar Pradesh,India,139,30-07-2020,395,14-09-2021,09-09-2028
621,Chunar Glaze Pottery,Registered,Chunar Pottery Samiti at Gangeshwarnath,"Chunar, Mirzapur, Uttar Pradesh, India, 231 304",10-09-2018,27,Handicraft,Uttar Pradesh,India,130,29-02-2020,371,14-09-2021,09-09-2028
622,Mirzapur Pital Bartan,Registered,Mirzapur Metal Manufacturer Association,"Mirzapur Metal Sindiate, Behind Roadways Workshop, Nai Basti, Mirzapur, Uttar Pradesh, India",10-09-2018,21,Handicraft,Uttar Pradesh,India,139,30-07-2020,396,14-09-2021,09-09-2028
623,Banaras Wood Carving,Registered,Varanasi Wood Carving Craft Society,"Kabirmath Gali, Pasiana Pasiyana Gali, Lahartra, varanasi, Uttar Pradesh, India, 221 002",10-09-2018,20,Handi Crafts,Uttar Pradesh,India,139,30-07-2020,397,14-09-2021,09-09-2028
624,Banaras Hand Block Print,Registered,Ohm Jan Kalyan Samiti,"32, Indira Nagar, Khajuri, varanasi, Uttar Pradesh, India, 0",10-09-2018,24 & 25,Handicraft,Uttar Pradesh,India,139,30-07-2020,398,14-09-2021,09-09-2028
625,Idu Mishmi Textiles,Registered,Idu Mishmi Cultural and Literary Society (IMCLS),"Office of the IMCLS, Po/Ps. Roing, District: Lower Dibang Valley, Arunachal Pradesh, India.",09-10-2018,25,Textiles,Arunachal Pradesh,India,121,26-04-2019,357,27-08-2019,08-10-2028
626,Dharwad Pedha (Logo),Withdrawn,Dharwad Pedha (Pedha) Manufacturers and Traders Society,"1839, S.B.S Road, Next to Durga Temple, Line Bazar, Dharwad - 580 001, Karnataka, India",17-10-2018,29,Food Stuffs,Karnataka,India,,,,,
627,Chilgoza,Withdrawn,Himachal Pradesh Patent Information Centre (HPPIC),"B34 SDA Complex, Kasumpti, Shimla - 171 009, Himachal Pradesh, India",02-11-2018,31,Agriculture,Himachal Pradesh,India,,,,,
628,Sojat Mehndi,Registered,"The President, Mehndi Vyapar Sangh Samiti","Sojat City, Pali, Rajasthan, India, 306 104",13-11-2018,31,Agricultural,Rajasthan,India,130,29-02-2020,372,14-09-2021,12-11-2028
629,Mizo Ginger,Registered,Mizoram Small Farmers Agribusiness Consortium,"Top Floor, Directorate of Horticulture Building, Tuikual South, Near Tennis Court, Aizawl – 796 001, Mizoram, India",28-11-2018,30,Agricultural,Mizoram,India,144,31-03-2021,413,14-09-2021,27-11-2028
630,Mizo Ginger(Merged With Application No. 629),Merged,"Department of Horticulture, Government of Mizoram","Tuikual, Near Tennis Court, Aizawl - 796 001, Mizoram, India",28-11-2018,30,Agricultural,Mizoram,India,144,31-03-2021,413,14-09-2021,27-11-2028
631,Mizo Phuihnam,Refused,"Department of Horticulture, Government of Mizoram","Tuikual, Near Tennis Court, Aizawl - 796 001, Mizoram, India",28-11-2018,31,Agricultural,Mizoram,India,,,,,
632,Mizo Hatkora,Refused,"Department of Horticulture, Government of Mizoram","Tuikual, Near Tennis Court, Aizawl - 796 001, Mizoram, India",28-11-2018,31,Agricultural,Mizoram,India,,,,,
633,Passion Fruit,Refused,"Department of Horticulture, Government of Mizoram","Tuikual, Near Tennis Court, Aizawl - 796 001, Mizoram, India",28-11-2018,31,Agricultural,Mizoram,India,,,,,
634,Mizo Chow-Chow,Refused,"Department of Horticulture, Government of Mizoram","Tuikual, Near Tennis Court, Aizawl - 796 001, Mizoram, India",28-11-2018,31,Agricultural,Mizoram,India,,,,,
635,Kashmir Saffron,Registered,The Agriculture Production Department J & K,"Directorate of Agriculture Kashmir Lalmandi, Srinagar - 190 008, Jammu & Kashmir, India",03-12-2018,30,Agricultural,Jammu & Kashmir,India,127,,366,01-05-2020,02-12-2028
636,Dalle Khursani,Registered,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9, Rajbari path, Ganeshguri, G. S. Road, Guwahati, Assam, India, 781 005",10-12-2018,30,Agricultural,India  (Sikkim and West Bengal),India,144,31-03-2021,414,14-09-2021,09-12-2028
637,Mizo Banana (Long Cavendish),Refused,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9, Rajbari path, Ganeshguri, G. S. Road, Guwahati - 781 005, Assam, India",10-12-2018,31,Agricultural,Mizoram,India,,,,,
638,Tripura Jackfruit,Refused,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9, Rajbari path, Ganeshguri, G. S. Road, Guwahati - 781 005, Assam, India",10-12-2018,31,Agricultural,Tripura,India,,,,,
639,Dekang,Refused,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9, Rajbari path, Ganeshguri, G. S. Road, Guwahati - 781 005, Assam, India",10-12-2018,31,Agricultural,Arunachal Pradesh,India,,,,,
640,Naga Cucumber,Registered,North Eastern Regional Agricultural Marketing Corporation Limited (NERAMAC),"9, Rajbari path, Ganeshguri, G. S. Road, Guwahati - 781 005, Assam, India",10-12-2018,31,Agricultural,Nagaland,India,141,11-09-2020,408,14-09-2021,09-12-2028
641,Tirur Betel Leaf (Tirur Vettila),Registered,Tirur Vettila Ulpadaka Sangam,"Chembra, C/o Krishibhavan, Tirur - Chamaravattom Road, Alingal, Malappuram, Kerala, India, 676 108",20-12-2018,31,Agricultural,Kerala,India,120,12-04-2019,354,14-08-2019,19-12-2028
642,Harmal Chilli,Registered,The Harmal-Pernem Chilli (Mirchi) Growers Association,"H. No. 164, Deulwada, Harmal, Pernem – 403 524, Goa, India.",14-01-2019,30,Agricultural,Goa,India,137,29-05-2020,387,14-09-2021,13-01-2029
643,Judima,Registered,"Managing Trustee, Youth Association for Development & Empowerment (YADEM)","P.O. Dibarai, Haflong, Dima Hasao - 788 819, Assam, India",16-01-2019,33,Manufactured,Assam,India,131,11-03-2020,376,14-09-2021,15-01-2029
644,Pithora,Registered,Pithora – GI,"C/o. Rathva Kamliben Sukhrambhai, Rani Bungalow Compound, AT. PO. TA., District: Chhotaudaipur - 391 165, Gujarat, India",23-01-2019,"2,19",Handicraft,Gujarat,India,136,22-05-2020,385,14-09-2021,22-01-2029
645,Mau Saree,Registered,Bharat Industrial Co - operative Society Limited,"Kazi Tola, Walidpur, Mau, Uttar Pradesh, India, 276 405",04-03-2019,24 & 25,Textiles,Uttar Pradesh,India,140,31-08-2020,404,14-09-2021,03-03-2029
646,Coconut Vinegar,Refused,"The Department of Science & Technology (DST), Government of Goa","1st Floor, Pandit Deendayal Upadhay Bhavan, Behing Pundalik Devasthan, Near Sanjay School, Porvorim, Bardez, Goa, India, 403 511",01-05-2019,30,Food Stuffs,,,,,,,
647,Lahaul Socks and Gloves,Registered,Save Lahaul Spiti Society,"Keylong, Lahaul & Spiti, Himachal Pradesh, India, 0",14-05-2019,23,Textiles,Himachal Pradesh,India,140,31-08-2020,405,14-09-2021,13-05-2029
648,Uttarakhand Aipan,Registered,Ulka Nidhi Swayat Sahkarita,"Shiv Sadan, Takana, Pithoragarh, Uttarakhand, India,",27-05-2019,16,Handi Crafts,Uttarakhand,India,138,30-06-2020,389,14-09-2021,26-05-2029
